//Index   Message
0         "[Blood Castle] fechará em %d minutos"
1         "[Blood Castle] fechado"
2         "[Blood Castle] %d começará em %d minutos"
3         "[Blood Castle] começou"
4         "Todos os monstros foram derrotados"
5         "Todos os BOSS foram derrotados"
6         "Blood Castle terminou"
7         "Você não é forte o suficiente para se juntar ao Blood Castle"
8         "O jogador %s derrubou a arma do Anjo"
9         "O jogador %s pegou a arma Angel"
10        "O jogador %s destrói o portão do castelo"
11        "O jogador %s destruiu a estátua"
16        "[Chaos Castle] fechará em %d minutos"
17        "[Chaos Castle] fechado"
18        "[Chaos Castle] %d começará em %d minutos"
19        "[Chaos Castle] começou"
20        "[Chaos Castle] terminou"
32        "Conta Gratuita"
33        "Conta Bronze"
34        "Conta prata"
35        "Conta Dourada"
36        "Obtenha %d %s"
37        "Você matou um cão de caça"
38        "Você ganha %d WC"
39        "Você obtém %d WP"
40        "Você recebe %d Gobilpoin"
41        "Você ganha %d Ruud"
42        ""
43        ""
44        ""
45        ""
46        "O grande demônio atacou Debender"
47       "O evento Demonic Boss começou!"
48       "O evento Demonic Boss terminou!"
49        ""
50        "O jogador %s destruiu o ovo de aranha"
51		  "%s está destruindo o Coelho de Jade."
52		  "%s está destruindo o Espírito da Floresta."
53        "[Grupo] "
54        "[Guilda] "
55        "[Aliança] "
56        "[Gens] "
57        "[Privado] "
58        ""
64        "Você não tem permissão para usá-lo"
65        "Você precisa do nível %d para usar /post"
66        "Você precisa redefinir %d para usar /post"
67        "Você precisa do %d zen para usar o /post"
68        "Você precisa esperar segundos %d para usar /post"
69        "%s"
70        "Você não tem permissão para usar /add"
71        "Este comando é para uso exclusivo do Senhor"
72        "Você não tem pontos suficientes para adicionar"
73        "Você precisa do %d zen para usar o /add"
74        "Você usou pontos %d, você ainda tem %d"
75        "Você não tem permissão para usar /pkclear"
76        "Você não é um assassino"
77        "Você precisa do %d zen para usar o /pkclear"
78        "Batismo bem sucedido"
79        "Você não tem permissão para usar /money"
80        "Você digitou o valor errado"
81        "Você não tem permissão para usar /change"
82        "Você precisa do %d zen para usar o /change"
83        "Você completou a última missão"
84        "Nível de missão promovido com sucesso"
85        "Você não tem permissão para usar /ware"
86        "Você não pode usar /ware neste momento"
87        "Você digitou o valor errado (máximo 10)"
88        "Mude para o inventário %d"
89        "Você não tem permissão para usar Redefinir"
90        "Você não pode redefinir neste momento"
91        "Você precisa do nível %d para redefinir"
92        "Você precisa do %d zen para redefinir"
93        "Você não pode redefinir mais do que %d"
94        "Você não pode reiniciar com itens equipados"
95        "Reinicializado com sucesso, você redefiniu %d"
96        "Você não tem permissão para usar /gmmove"
97        "Alvo inválido /gmmove"
98        "Você não tem permissão para usar /gmpost"
99        "Você não tem permissão para usar /track"
100       "Destino inválido"
101       "Você não tem permissão para usar /trace"
102       "Alvo inválido /trace"
103       "Você não tem permissão para usar /disconnect"
104       "Alvo inválido /disconnect"
105       "Você não tem permissão para usar /fireworks"
106       "Você não tem permissão para usar /make"
107       "Item criado com sucesso"
108       "Você não tem permissão para usar /skin"
109       "Alvo inválido /skin"
110       "Você não tem permissão para usar /setmoney"
111       "Alvo inválido /setmoney"
112       "Você inseriu o valor errado /setmoney"
113       "Você não tem permissão para usar /notice"
114       "Adicionar pontos automaticamente: Ligado (%d)"
115       "Adicionar pontos automaticamente: Desativado"
116       "O modo de reinicialização automática foi ativado"
117       "A redefinição automática está desativada"
118       "Você não está qualificado para prosseguir com o Relife"
119       "Você não pode reviver neste momento"
120       "Você ainda não tem níveis %d para prosseguir com o Relife"
121       "Ainda faltam redefinições de %d para prosseguir com o Relife"
122       "Você precisa do %d zen para usar o Relife"
123       "Você não pode Reviver além de %d "
124       "Você não pode reviver porque não possui os itens necessários"
125       "Relife com sucesso, você Relifed %d vezes."
126       "Solicitações recebidas: Conectadas"
127       "Solicitações recebidas: Desativado"
128       "Solicitações recebidas: Automáticas"
129       "Você só pode redefinir %d durante o dia"
130       "Você só pode redefinir %d durante a semana"
131       "Você só pode redefinir %d durante o mês"
132       "Você só pode reviver %d durante o dia"
133       "Você só pode Relife %d durante a semana"
134       "Você só pode Relife %d durante o mês"
135       "Você não tem permissão para usar /hide"
144       "[Devil Square] fechará em %d minutos"
145       "[Devil Square] fechado"
146       "[Devil Square] %d começará em %d minutos"
147       "[Devil Square] começou"
148       "[Devil Square] terminou"
149       "Você não é forte o suficiente para entrar na Devil Square"
153       "Por favor, batize primeiro"
160			"[Duelo] O jogador não está online"
161			"[Duelo] Você não pode desafiar neste momento"
162			"[Duelo] O jogador recusa automaticamente seu convite para o desafio"
163			"[Duelo] Enviou um desafio ao adversário"
164			"[Duelo] O jogador foi convidado a desafiar"
165			"[Duelo] Você não pode desafiar um duelo durante uma batalha de Guilda"
166			"[Duelo] Os jogadores não podem duelar na Guerra de Guildas"
167			"[Duelo] Você não pode desafiar neste mapa"
168			"[Duelo] Você não pode duelar em Castle Siege"
169			"[Duelo] Não existe nenhum jogador com esse nome"
170			"[Duelo] Você está em modo de luta"
171			"[Duelo] Este jogador está em modo de batalha"
172			"[Duelo] O jogador recusa seu pedido"
173			"[Duelo] Todas as arenas estão lotadas"
174			"[Duelo] %s vs %s Vamos começar!"
175			"[Duelo] O jogador %s vence %s na arena!"
176       "White Dragon Palace fechará em %d minutos"
177       "Palácio do Dragão Branco está fechado"
178       "O poder do dragão branco %d começa após %d segundos"
179       "O Palácio do Dragão Branco começa"
180       "O Palácio do Dragão Branco terminou"
181       "Você não é forte o suficiente para se juntar ao Palácio do Dragão Branco"
182       "Você não tem ingresso para visitar o Palácio do Dragão Branco"
183       "%s derrubou Long Chau"
184       "%s pegou Long Chau"
185       "%s derrotou o Rei Demônio"
186       "%s destruiu Zhao Zilong!"
187       "A invasão do Rei Demônio começou!"
188       "A invasão do Rei Demônio terminou!"
189       "A invasão do Dragão Azul começou em Kanturu!"
190       "A invasão do Dragão Azul terminou!"
191       "A invasão de Zhao Zilong começou em Raklion!"
192       "A invasão de Zhao Zilong terminou!"
193       "A Invasão Dourada começou no continente de MU!"
194       "A invasão do Boss Aranha começou!"
195       "A invasão do Mestre da Espada começou!"
196       "A invasão do Rei Lobo começou!"
197       "A invasão do Coelho Lunar começou!"
198       "A invasão de Selupan começou!"
199       "A invasão do Deus da Guerra começou!"
200       "A invasão de Medusa começou em Icarus!"
201       "A invasão de Medusa terminou!"
202       "%s derrotou o Mestre da Espada!"
203       "%s derrotou o Dragão Vermelho!"
204       "%s derrotou Kundun!"
205       "%s derrotou o Dragão Azul!"
206       "%s derrotou o Rei Demônio!"
207       "%s derrotou Medusa!"
208       "O Mercador Moss aparece!"
209       "O Mercador Moss vai embora!"
210       "%s derrotou o Cavaleiro Negro!"
211       "%s derrotou o Kundun Dourado!"
212       "A invasão do Rei Esqueleto começou!"
213       "A invasão do Rei Esqueleto terminou!"
214       "A invasão do Dragão Vermelho começou!"
215       "A invasão do Dragão Vermelho terminou!"
216       "A invasão do Cavaleiro Negro começou!"
217       "A invasão do Cavaleiro Negro terminou!"
218       "A invasão de Kundun começou!"
219       "A invasão de Kundun terminou!"
220       "A invasão do Coelho Lunar começou!"
221       "A invasão do Coelho Lunar terminou!"
222       "A invasão dos Super Bosses começou!"
223       "A invasão dos Super Bosses terminou!"
224       "Você precisa do nível %d para se mover"
225       "Você precisa do %d zen para se mover"
226       "Você não pode se mover neste momento"
227       "Assassinos não podem se mover"
228       "Você não pode se mover neste momento"
229       "Somente membros Gens podem se mover"
230       "Você precisa de pelo menos nível %d para se mover"
231       "você precisa de redefinições de %d para mover"
232       "você precisa de no máximo redefinições de %d para se mover"
240       "Sênior não está ativo no momento"
241       "Sênior não trabalha durante Castle Siege"
242       "Você tem que estar no dono da guilda do castelo para usar o Senior"
243       "Você deve ser o proprietário da guilda para usar o Senior"
244       "O guarda não funciona durante o Castle Siege"
245       "Você se juntou à associação"
246       "Você não está qualificado para criar uma GUILD"
247       "A loja está vazia"
248       "[CONTA]: Normalmente"
249       "[CONTA]: Dong (%s)"
250       "[CONTA]: Prata (%s)"
251       "[CONTA]: Ouro (%s)"
256       "%s, seja bem-vindo!"
257       "Você precisa de 40 níveis para lançar este item"
258       "Você precisa de 80 níveis para lançar este item"
259       "Você não pode mudar para outro mapa neste momento"
260       "Este item não pertence a você"
261       "Você não pode sair do jogo durante a negociação"
262       "Você não pode sair do jogo enquanto abre o inventário"
263       "Você não pode sair do jogo enquanto estiver usando a Chaos Machine"
264       "Você não pode sair do jogo enquanto treina PET"
265       "Você não pode sair do jogo no modo de combate"
266       "Você atingiu o nível máximo"
267       "Você atingiu o nível máximo (Master)."
268       "Você só pode adicionar pontos %d"
269       "Você não pode falar por %d segundos."
270       "Você não pode falar sozinho"
271       "Olá, sou um guarda alegre"
272       "Não é possível teletransportar-se instantaneamente"
273       "Você será teletransportado por %d segundos"
274       "Você não pode mover-se para este mapa enquanto monta um animal de estimação"
275       "Você precisa usar asas para se mover para este mapa"
276       "Presentes CashShop"
277  	  "%s destruiu o Bebê Dragão Dourado"
